Name,Series,Wiki URL,Powers,Archetypes,Dominant Colors,Image URL
Aisha,Winx Club,https://winx.fandom.com/wiki/Aisha,"Fairies' Magic, Morphix, Liquid Manipulation, Hydrokinesis, Water/Sea Manipulation, Waves Manipulation, Bubble/Foam Manipulation","Heart, Warrior, Rebel, Leader","rgb(214, 157, 175), rgb(143, 37, 72), rgb(59, 102, 92), rgb(130, 87, 69)",https://static.wikia.nocookie.net/winx/images/5/52/Aisha_S8E09.png/revision/latest/scale-to-width-down/268?cb=20210128135514
Bloom,Winx Club,https://winx.fandom.com/wiki/Bloom,"Dragon's Flame, Fairies' Magic, Fire/Heat Manipulation, Healing, Dark Magic, Teleportation, Ice Flame Manipulation, Fire Vortex Creation, Fire Absorption, Dragon Aura
","Rebel, Leader, Heart","rgb(211, 177, 222), rgb(68, 141, 196), rgb(220, 109, 84), rgb(174, 55, 112)",https://static.wikia.nocookie.net/winx/images/1/12/Bloom_S8E5.png/revision/latest/scale-to-width-down/268?cb=20210131110548
Tecna,Winx Club,https://winx.fandom.com/wiki/Tecna,"Fairies' Magic, Technomagic, Electrokinesis, Electric Field Manipulation, Magnetic Field Manipulation, Magnetism Manipulation, Cryo-Electricity Manipulation, Dragon's Flame, Hologram Interaction, Shape Manipulation
","Intellectual, Rebel","rgb(165, 161, 175), rgb(110, 49, 126), rgb(55, 64, 150), rgb(131, 105, 77)",https://static.wikia.nocookie.net/winx/images/5/59/Tecna_S8E11.png/revision/latest/scale-to-width-down/268?cb=20210131110510
Flora,Winx Club,https://winx.fandom.com/wiki/Flora,"Fairies' Magic, Nature Manipulation, Nature/Earth Magic, Geokinesis/Chlorokinesis, Aerokinesis, Season Manipulation, Dragon's Flame
","Caregiver, Heart","rgb(161, 165, 165), rgb(48, 172, 104), rgb(187, 44, 162), rgb(139, 96, 70)",https://static.wikia.nocookie.net/winx/images/f/f2/Flora_S8E7.png/revision/latest/scale-to-width-down/268?cb=20200419122905
Roxy,Winx Club,https://winx.fandom.com/wiki/Roxy,"Fairies' Magic, Light Magic, Animal Magic, Animal Control, Animal Empathy, Zoolingualism, Give human speech to animals, Heal injured animals",Intellectual,"rgb(89, 228, 188), rgb(229, 121, 174), rgb(131, 24, 115), rgb(4, 129, 84)",https://static.wikia.nocookie.net/winx/images/6/69/Roxy_S7E14.png/revision/latest/scale-to-width-down/268?cb=20240709082542
Stella,Winx Club,https://winx.fandom.com/wiki/Stella,"Fairies' Magic, Esoteric/Light Manipulation, Sunlight/Moonlight/Starlight Magic, Rainbow/Color Manipulation, Dragon's Flame, Clothing Generation, Fashion Intuition","Artist, Heart, Caregiver","rgb(212, 168, 158), rgb(64, 59, 45), rgb(157, 62, 102), rgb(159, 103, 58)",https://static.wikia.nocookie.net/winx/images/6/6b/Stella_S8E16.png/revision/latest/scale-to-width-down/268?cb=20210131110652
Shigure Kokoro,Pretty Cure,https://prettycure.fandom.com/wiki/Shigure_Kokoro,"Kyun-Kyun Beat, Kyun-Kyun Laser, High Emotion, Kirakkiran・For・You ","Mystic, Heart","rgb(235, 223, 121), rgb(178, 95, 253), rgb(253, 208, 230), rgb(169, 243, 254)",https://static.wikia.nocookie.net/prettycure/images/2/2a/Kokoro_Cure_Kyun-Kyun.png/revision/latest/scale-to-width-down/268?cb=20250105010647
Meroron,Pretty Cure,https://prettycure.fandom.com/wiki/Meroron,"Zukyoon Kiss Destiny, Kiss Shock, Kirakkiran・For・You ","Rebel, Heart","rgb(164, 147, 246), rgb(246, 175, 214), rgb(103, 103, 103), rgb(238, 202, 247)",https://static.wikia.nocookie.net/prettycure/images/c/c7/Kiss_Meroron.png/revision/latest/scale-to-width-down/268?cb=20250921093530
Sakura Uta,Pretty Cure,https://prettycure.fandom.com/wiki/Sakura_Uta,"Idol Heart Brooch, Kirakkiran Ribbon Baton","Leader, Heart","rgb(165, 242, 243), rgb(245, 241, 124), rgb(241, 77, 155), rgb(254, 188, 227)",https://static.wikia.nocookie.net/prettycure/images/3/3f/Uta_Cure_Idol_Profile.png/revision/latest/scale-to-width-down/268?cb=20250105010651
Aokaze Nana,Pretty Cure,https://prettycure.fandom.com/wiki/Aokaze_Nana,"Idol Heart Incom, Kirakkiran Ribbon Baton","Mystic, Caregiver","rgb(156, 112, 226), rgb(74, 185, 254), rgb(252, 251, 199), rgb(239, 252, 254)",https://static.wikia.nocookie.net/prettycure/images/5/53/Nana_Cure_Wink_Profile.png/revision/latest/scale-to-width-down/268?cb=20250105010648
Purirun,Pretty Cure,https://prettycure.fandom.com/wiki/Purirun,"Kirakira Showtime Mic, Kirakkiran Ribbon Baton","Rebel, Mystic","rgb(247, 189, 218), rgb(191, 220, 248), rgb(215, 247, 218), rgb(247, 247, 249)",https://static.wikia.nocookie.net/prettycure/images/3/3d/Zukyoon_Purirun.png/revision/latest/scale-to-width-down/268?cb=20250921094256
Iris,Lolirock,https://lolirock.fandom.com/wiki/Iris,"Magic, Scepter of Ephedia","Heart, Artist","rgb(120, 207, 248), rgb(237, 101, 140), rgb(245, 245, 245), rgb(246, 215, 121)",https://static.wikia.nocookie.net/lolirock/images/b/be/20200429_124749.jpg/revision/latest/scale-to-width-down/268?cb=20200429055024
Auriana,Lolirock,https://lolirock.fandom.com/wiki/Auriana,"Defensive Magic, Ribbon of Volta, Crescent-shaped Bommerang","Warrior, Caregiver","rgb(81, 219, 106), rgb(251, 184, 101), rgb(233, 103, 32), rgb(250, 231, 130)",https://static.wikia.nocookie.net/lolirock/images/3/39/PrincessAuriana.png/revision/latest/scale-to-width-down/268?cb=20181111223653
Talia,Lolirock,https://lolirock.fandom.com/wiki/Talia,"Magic, Wand of Xeris","Intellectual, Mystic","rgb(223, 177, 31), rgb(190, 254, 250), rgb(28, 101, 161), rgb(189, 103, 66)",https://static.wikia.nocookie.net/lolirock/images/e/eb/PrincessTalia.png/revision/latest/scale-to-width-down/267?cb=20221117220401
Blossom,Powerpuff Girls,https://powerpuffgirls.fandom.com/wiki/Blossom_(1998_TV_series),"Ice breath, microscopic vision, advanced intelligence & knowledge, master strategist","Intellectual, Leader","rgb(242, 113, 113), rgb(242, 175, 49), rgb(216, 39, 52), rgb(1, 1, 1)",https://static.wikia.nocookie.net/powerpuff/images/2/23/Blossom-pic.png/revision/latest/scale-to-width-down/268?cb=20190329151816
Bubbles,Powerpuff Girls,https://powerpuffgirls.fandom.com/wiki/Bubbles_(1998_TV_series),"X-ray vision, electric forces, understanding and speaking of animal languages","Heart, Caregiver","rgb(61, 168, 205), rgb(255, 240, 67), rgb(1, 1, 1), rgb(245, 245, 245)",https://static.wikia.nocookie.net/powerpuff/images/3/31/185px-Bubbles_%28Original%29_Pic.jpg/revision/latest?cb=20251004145550
Buttercup,Powerpuff Girls,https://powerpuffgirls.fandom.com/wiki/Buttercup_(1998_TV_series),"Dynamo, Green Laser Beams, Fireball, Ball Blast","Warrior, Rebel","rgb(93, 200, 71), rgb(1, 1, 1), rgb(245, 245, 245), rgb(255, 230, 213)",https://static.wikia.nocookie.net/powerpuff/images/1/14/Buttercup-pic.png/revision/latest/scale-to-width-down/268?cb=20190329151511
Alex,Totally Spies,https://totallyspies.fandom.com/wiki/Alexandra,,"Rebel, Warrior","rgb(243, 153, 15), rgb(13, 18, 48), rgb(171, 92, 40)",https://static.wikia.nocookie.net/totallyspies/images/8/87/Alex_Cell_Phone_1.webp/revision/latest?cb=20240529200536
Clover,Totally Spies,https://totallyspies.fandom.com/wiki/Clover,,Heart,"rgb(179, 0, 19), rgb(254, 186, 15), rgb(7, 174, 225)",https://static.wikia.nocookie.net/totallyspies/images/c/ca/Cloverbeach.png/revision/latest/scale-to-width-down/185?cb=20160224112840
Samantha,Totally Spies,https://totallyspies.fandom.com/wiki/Samantha,,Intellectual,"rgb(69, 147, 0), rgb(228, 44, 0), rgb(13, 176, 66)",https://static.wikia.nocookie.net/totallyspies/images/f/fe/Sam6_remastered.png/revision/latest?cb=20240526203157
